# word|meaning|part of speech|usage|Chinese usage|stage
texture|質地|noun|The towel has a soft texture.|毛巾的質地柔軟。|3
default|預設值|noun|Use the default setting.|使用預設設定。|4
sticker|貼紙|noun|Put a sticker on your notebook.|在筆記本上貼一張貼紙。|2
mess|凌亂|noun|My room is a mess.|我的房間很凌亂。|2
suite|套房|noun|The hotel suite has two rooms.|這間飯店套房有兩個房間。|3
submission|提交|noun|Check your work before submission.|提交前檢查你的作業。|4
conditioner|潤髮乳|noun|Use conditioner after shampoo.|洗髮後使用潤髮乳。|3
activist|倡議者；社會運動者|noun|The activist works for cleaner rivers.|這位倡議者致力於讓河川更乾淨。|4
scatter|撒；散開|verb|Scatter the seeds on the soil.|把種子撒在土壤上。|3
swell|腫脹|verb|A sore ankle may swell.|疼痛的腳踝可能腫起來。|3
reunite|使重聚|verb|The trip will reunite old friends.|這趟旅行會讓老朋友重聚。|3
befriend|與……交朋友|verb|Try to befriend the new student.|試著與新同學交朋友。|3
wicked|邪惡的|adjective|a wicked witch|邪惡的女巫|3
partially|部分地|adverb|partially finished work|部分完成的工作|4
ventilate|使通風|verb|Please ventilate the room.|請讓房間通風。|4
air|空氣|noun|We need clean air.|我們需要乾淨的空氣。|1
march|三月|noun|March is the third month.|三月是第三個月。|1
the|這個；那個（特指）|article|Please close the door.|請把門關上。|1
a|一個（不特指）|article|I have a dog.|我有一隻狗。|1
an|一個（母音前使用）|article|She eats an apple.|她吃一顆蘋果。|1
be|是；處於|verb|Please be quiet.|請保持安靜。|1
of|的|preposition|a cup of water|一杯水|1
and|和；而且|conjunction|a cat and a dog|一隻貓和一隻狗|1
in|在……裡面|preposition|The ball is in the box.|球在盒子裡。|1
to|到；向|preposition|Go to school.|去上學。|1
it|它|pronoun|It is a red ball.|它是一顆紅球。|1
he|他|pronoun|He is my brother.|他是我的哥哥。|1
for|給；為了|preposition|This gift is for you.|這份禮物是給你的。|1
that|那個|determiner|I like that book.|我喜歡那本書。|1
you|你；你們|pronoun|Are you ready?|你準備好了嗎？|1
with|和……一起；帶有|preposition|Come with me.|和我一起來。|1
on|在……上面|preposition|The cup is on the table.|杯子在桌上。|1
they|他們；她們；它們|pronoun|They are my friends.|他們是我的朋友。|1
do|做|verb|I do my homework after school.|我放學後做功課。|1
by|在……旁邊|preposition|Sit by the window.|坐在窗邊。|1
she|她|pronoun|She is my sister.|她是我的姊姊。|1
at|在（某地點或時間）|preposition|Meet me at the gate.|在大門口和我見面。|1
this|這個|determiner|This bag is mine.|這個袋子是我的。|1
but|但是|conjunction|I am tired but happy.|我很累但是很開心。|1
his|他的|determiner|His coat is blue.|他的外套是藍色的。|1
we|我們|pronoun|We play together.|我們一起玩。|1
from|從；來自|preposition|I am from Taiwan.|我來自臺灣。|1
which|哪一個|determiner|Which book do you want?|你想要哪本書？|2
or|或者|conjunction|Would you like milk or water?|你想要牛奶還是水？|1
will|將會|modal|I will help you.|我會幫助你。|2
as|像……一樣|conjunction|Do as I do.|照我的方式做。|2
would|會；願意（較客氣）|modal|Would you like some tea?|你想喝點茶嗎？|2
their|他們的|determiner|Their house is near the park.|他們的房子在公園附近。|1
what|什麼|pronoun|What is your name?|你叫什麼名字？|1
all|全部的|determiner|All the children are here.|所有孩子都到了。|1
if|如果|conjunction|We can go if it stops raining.|如果雨停了，我們就可以走。|2
her|她的|determiner|Her hat is yellow.|她的帽子是黃色的。|1
go|去|verb|Let us go home.|我們回家吧。|1
who|誰|pronoun|Who is at the door?|誰在門口？|1
one|一|number|I have one pencil.|我有一枝鉛筆。|1
so|所以|conjunction|It is cold, so I wear a coat.|天氣很冷，所以我穿外套。|2
up|向上|adverb|Look up at the sky.|抬頭看天空。|1
some|一些|determiner|Have some water.|喝點水。|1
when|什麼時候|adverb|When is your birthday?|你的生日是什麼時候？|1
could|能夠；可以|modal|Could you help me?|你可以幫我嗎？|2
into|進入|preposition|Put the toy into the box.|把玩具放進盒子裡。|1
its|它的|determiner|The dog wags its tail.|狗搖著牠的尾巴。|2
two|二|number|two apples|兩顆蘋果|1
my|我的|determiner|My name is Amy.|我叫艾咪。|1
out|向外；在外面|adverb|Please take the rubbish out.|請把垃圾拿出去。|1
about|關於|preposition|a story about a bear|一個關於熊的故事|2
your|你的；你們的|determiner|Wash your hands.|洗你的手。|1
no|沒有的|determiner|There is no milk left.|沒有剩下的牛奶了。|1
only|只有；僅僅|adverb|I only need one.|我只需要一個。|2
just|剛剛|adverb|I just got home.|我剛剛回到家。|2
these|這些|determiner|These shoes are new.|這些鞋子是新的。|1
any|任何；一些（疑問或否定句）|determiner|Do you have any questions?|你有任何問題嗎？|2
first|第一|number|the first day of school|開學第一天|1
may|可能；可以|modal|May I sit here?|我可以坐在這裡嗎？|2
should|應該|modal|You should get some rest.|你應該休息一下。|2
like|喜歡|verb|I like this song.|我喜歡這首歌。|1
than|比|conjunction|My bag is bigger than yours.|我的袋子比你的大。|2
how|如何；怎麼|adverb|How do you spell your name?|你的名字怎麼拼？|1
our|我們的|determiner|This is our classroom.|這是我們的教室。|1
after|在……之後|preposition|after lunch|午餐之後|1
between|在……之間|preposition|Sit between your friends.|坐在你的朋友之間。|2
many|許多（可數）|determiner|many books|許多書|1
those|那些|determiner|Those birds are small.|那些鳥很小。|1
because|因為|conjunction|I stayed home because I was sick.|我因為生病而待在家。|2
down|向下|adverb|Sit down, please.|請坐下。|1
three|三|number|three birds|三隻鳥|1
back|回到原處|adverb|Come back soon.|早點回來。|1
must|必須|modal|We must stop at a red light.|我們遇到紅燈必須停下來。|2
even|甚至|adverb|Even the baby is laughing.|連寶寶都在笑。|2
own|自己的|adjective|my own room|我自己的房間|2
oh|喔|interjection|Oh, I see!|喔，我懂了！|1
mean|意思是|verb|What does this word mean?|這個字是什麼意思？|2
where|在哪裡|adverb|Where is my hat?|我的帽子在哪裡？|1
might|可能|modal|It might rain today.|今天可能會下雨。|2
yes|是；好的|interjection|Yes, please.|好的，麻煩你。|1
another|另一個|determiner|May I have another apple?|我可以再吃一顆蘋果嗎？|2
most|大多數的|determiner|Most students walk to school.|大多數學生走路上學。|2
against|靠著；對抗|preposition|Lean the ladder against the wall.|把梯子靠在牆上。|2
again|再次|adverb|Please say it again.|請再說一次。|1
under|在……下面|preposition|The cat is under the bed.|貓在床底下。|1
much|許多（不可數）|determiner|How much water do we need?|我們需要多少水？|2
something|某件事；某個東西|pronoun|I want something to eat.|我想吃點東西。|2
why|為什麼|adverb|Why is the sky blue?|天空為什麼是藍色的？|1
each|每一個|determiner|Each child has a pencil.|每個孩子都有一枝鉛筆。|2
four|四|number|four chairs|四張椅子|1
without|沒有|preposition|tea without sugar|不加糖的茶|2
within|在……之內|preposition|within ten minutes|十分鐘之內|3
during|在……期間|preposition|during the lesson|上課期間|2
although|雖然|conjunction|Although it was cold, we went outside.|雖然天冷，我們還是出去了。|3
before|在……之前|preposition|before dinner|晚餐之前|1
five|五|number|five fingers|五根手指|1
every|每一個|determiner|every morning|每天早上|1
both|兩者都|determiner|Both answers are correct.|兩個答案都正確。|2
second|第二|number|the second page|第二頁|1
nothing|沒有東西；沒事|pronoun|There is nothing in the box.|盒子裡沒有東西。|2
yet|尚未|adverb|The bus is not here yet.|公車還沒到。|2
whether|是否|conjunction|I do not know whether she can come.|我不知道她是否能來。|3
almost|幾乎|adverb|We are almost home.|我們快到家了。|2
himself|他自己|pronoun|He made it himself.|他自己做了它。|2
far|遠|adverb|How far is the park?|公園有多遠？|1
six|六|number|six eggs|六顆蛋|1
since|自從|preposition|since Monday|從星期一起|3
anything|任何東西|pronoun|Do you need anything?|你需要什麼嗎？|2
towards|朝向|preposition|Walk towards the gate.|朝大門走。|2
toward|朝向|preposition|Walk toward the gate.|朝大門走。|2
million|百萬|number|one million people|一百萬人|3
today|今天|adverb|We have music class today.|我們今天有音樂課。|1
enough|足夠的|determiner|enough food for everyone|足夠每個人吃的食物|2
less|較少的（不可數）|determiner|less sugar|較少的糖|2
until|直到|preposition|Wait until noon.|等到中午。|2
themselves|他們自己|pronoun|They made lunch themselves.|他們自己做了午餐。|2
itself|它自己|pronoun|The door closed by itself.|門自己關上了。|2
around|在……周圍|preposition|around the table|圍著桌子|2
upon|在……之上（較正式）|preposition|a book upon the shelf|書架上的一本書|4
therefore|因此|adverb|It rained; therefore, we stayed home.|下雨了，因此我們待在家。|3
hundred|一百|number|one hundred dollars|一百元|2
among|在……之中|preposition|among friends|在朋友之間|3
either|兩者中任一個|determiner|Either color is fine.|兩種顏色都可以。|3
across|穿過；在對面|preposition|Walk across the street.|走過街道。|2
third|第三|number|the third floor|三樓|2
ten|十|number|ten toes|十根腳趾|1
else|其他|adverb|What else do you need?|你還需要什麼？|2
shall|將；要不要（提議）|modal|Shall we go?|我們走吧？|3
lie|躺|verb|Lie down on the bed.|躺在床上。|2
watch|看；觀看|verb|Watch the birds.|看那些鳥。|1
whose|誰的|determiner|Whose bag is this?|這是誰的袋子？|2
yesterday|昨天|adverb|It rained yesterday.|昨天下雨。|1
indeed|確實|adverb|It is very cold indeed.|天氣確實很冷。|3
someone|某個人|pronoun|Someone is at the door.|有人在門口。|2
everything|所有事情；一切|pronoun|Everything is ready.|一切都準備好了。|2
once|一次|adverb|I have been there once.|我去過那裡一次。|2
seven|七|number|seven days|七天|1
eight|八|number|eight crayons|八枝蠟筆|1
herself|她自己|pronoun|She drew it herself.|她自己畫了它。|2
twenty|二十|number|twenty students|二十名學生|1
us|我們（受詞）|pronoun|Come with us.|跟我們一起來。|1
thousand|一千|number|one thousand dollars|一千元|2
anyone|任何人|pronoun|Can anyone help?|有人能幫忙嗎？|2
despite|儘管|preposition|despite the rain|儘管下雨|3
above|在……上方|preposition|above the clouds|在雲層上方|2
forward|向前|adverb|Take one step forward.|向前走一步。|2
nine|九|number|nine balloons|九顆氣球|1
per|每|preposition|two lessons per week|每週兩堂課|3
everyone|每個人|pronoun|Everyone is welcome.|歡迎每一個人。|2
whom|誰（受詞，較正式）|pronoun|With whom did you travel?|你和誰一起旅行？|4
myself|我自己|pronoun|I made it myself.|我自己做了它。|2
along|沿著|preposition|Walk along the river.|沿著河走。|2
anyway|不管怎樣|adverb|Thanks anyway.|不管怎樣還是謝謝你。|3
nearly|幾乎|adverb|It is nearly noon.|快中午了。|2
unless|除非|conjunction|We can play outside unless it rains.|除非下雨，否則我們可以在外面玩。|3
exactly|正好；確切地|adverb|It is exactly ten o'clock.|現在正好十點。|2
yourself|你自己|pronoun|You can do it yourself.|你可以自己做。|2
beyond|在……的另一邊|preposition|beyond the bridge|在橋的另一邊|3
maybe|也許|adverb|Maybe we can go tomorrow.|也許我們明天可以去。|2
thirty|三十|number|thirty minutes|三十分鐘|2
fifty|五十|number|fifty dollars|五十元|2
left|左邊的|adjective|my left hand|我的左手|1
fit|合身|verb|These shoes fit me.|這雙鞋合我的腳。|2
hardly|幾乎不|adverb|I can hardly hear you.|我幾乎聽不到你。|3
below|在……下面|preposition|below the window|在窗戶下方|2
none|沒有任何一個|pronoun|None of the boxes are empty.|沒有一個盒子是空的。|3
instead|代替；改為|adverb|Let us walk instead.|我們改用走的吧。|3
somebody|某人|pronoun|Somebody left a hat here.|有人把帽子留在這裡。|2
forty|四十|number|forty pages|四十頁|2
plus|加|preposition|Two plus three is five.|二加三等於五。|1
somewhere|某處|adverb|I left my hat somewhere.|我把帽子放在某個地方了。|2
twelve|十二|number|twelve months|十二個月|1
twice|兩次|adverb|Brush your teeth twice a day.|每天刷牙兩次。|2
ahead|在前方|adverb|Look ahead.|看前方。|2
surely|一定；想必|adverb|Surely you remember her.|你一定記得她吧。|3
whereas|然而；相較之下|conjunction|I like tea, whereas she likes coffee.|我喜歡茶，而她喜歡咖啡。|4
nobody|沒有人|pronoun|Nobody is in the room.|房間裡沒有人。|2
onto|到……上面|preposition|The cat jumped onto the chair.|貓跳到椅子上。|2
fourth|第四|number|the fourth question|第四題|2
ought|應該（常接 to）|modal|We ought to leave now.|我們現在應該離開了。|3
everybody|每個人|pronoun|Everybody is ready.|每個人都準備好了。|2
whilst|當……時（較正式）|conjunction|Read whilst you wait.|等候時閱讀。|4
beside|在……旁邊|preposition|Sit beside me.|坐在我旁邊。|1
elsewhere|在別處|adverb|Let us look elsewhere.|我們去別處看看。|3
sixty|六十|number|sixty seconds|六十秒|2
neither|兩者都不|determiner|Neither answer is correct.|兩個答案都不正確。|3
fifteen|十五|number|fifteen minutes|十五分鐘|2
billion|十億|number|one billion people|十億人|4
anybody|任何人|pronoun|Is anybody home?|有人在家嗎？|2
meanwhile|同時|adverb|I will cook. Meanwhile, please set the table.|我來做飯。同時，請你擺餐具。|3
beneath|在……下方|preposition|beneath the surface|在表面下方|3
hence|因此|adverb|The road is closed, hence the delay.|道路封閉，因此耽擱了。|4
nineteen|十九|number|nineteen tickets|十九張票|2
unfortunately|不幸地；可惜|adverb|Unfortunately, the shop is closed.|可惜商店關門了。|3
eighty|八十|number|eighty dollars|八十元|2
ninety|九十|number|ninety minutes|九十分鐘|2
afterwards|之後|adverb|We ate and went home afterwards.|我們吃完後就回家了。|3
ourselves|我們自己|pronoun|We cooked dinner ourselves.|我们自己做了晚餐。|2
amongst|在……之中|preposition|amongst the trees|在樹木之間|4
via|經由|preposition|via the main entrance|經由主要入口|3
yours|你的（所有物）|pronoun|This book is yours.|這本書是你的。|2
except|除了……之外|preposition|Everyone came except Sam.|除了山姆以外，大家都來了。|3
anywhere|任何地方|adverb|You can sit anywhere.|你可以坐在任何地方。|2
seventy|七十|number|seventy people|七十人|2
eleven|十一|number|eleven players|十一名球員|1
aside|在一旁|adverb|Put the bag aside.|把袋子放到一旁。|3
fifth|第五|number|the fifth day|第五天|2
apart|分開|adverb|Keep the two boxes apart.|把兩個盒子分開放。|2
whenever|無論何時|conjunction|Call whenever you need help.|需要幫忙時隨時打電話來。|3
altogether|總共|adverb|There are ten altogether.|總共有十個。|3
everywhere|到處|adverb|Flowers are everywhere.|到處都是花。|2
respectively|分別地|adverb|They are six and eight respectively.|他們的年齡分別是六歲和八歲。|4
eighteen|十八|number|eighteen seats|十八個座位|2
alongside|在……旁邊|preposition|Walk alongside the river.|沿著河邊走。|3
furthermore|此外|adverb|It is cheap. Furthermore, it is easy to use.|它很便宜，此外也很容易使用。|4
till|直到|preposition|Wait till morning.|等到早上。|2
approximately|大約|adverb|approximately ten minutes|大約十分鐘|3
fourteen|十四|number|fourteen books|十四本書|2
sixteen|十六|number|sixteen people|十六個人|2
thereby|藉此|adverb|We shared a taxi, thereby saving money.|我們共乘計程車，藉此省錢。|5
sixth|第六|number|the sixth floor|六樓|2
hers|她的（所有物）|pronoun|The red bag is hers.|紅色袋子是她的。|2
nowhere|沒有任何地方|adverb|There is nowhere to sit.|沒有地方可以坐。|2
wherever|無論哪裡|conjunction|Sit wherever you like.|你喜歡坐哪裡都可以。|3
thirteen|十三|number|thirteen candles|十三根蠟燭|2
namely|也就是|adverb|I need one thing, namely time.|我需要一樣東西，也就是時間。|4
regarding|關於|preposition|regarding your question|關於你的問題|4
whereby|藉由……的方法|adverb|a system whereby everyone can vote|一套讓所有人都能投票的制度|5
seventeen|十七|number|seventeen boxes|十七個盒子|2
besides|除了……還有|preposition|Who is coming besides you?|除了你，還有誰要來？|3
ours|我們的（所有物）|pronoun|This classroom is ours.|這間教室是我們的。|2
fortunately|幸好|adverb|Fortunately, nobody was hurt.|幸好沒有人受傷。|3
seventh|第七|number|the seventh page|第七頁|2
whoever|無論誰|pronoun|Whoever finishes first can choose a game.|誰先完成就可以選一個遊戲。|3
eighth|第八|number|the eighth question|第八題|2
nonetheless|儘管如此|adverb|It was difficult. Nonetheless, she finished.|雖然很難，她還是完成了。|4
tenth|第十|number|the tenth birthday|十歲生日|2
theirs|他們的（所有物）|pronoun|That house is theirs.|那棟房子是他們的。|2
underneath|在……下面|preposition|underneath the table|在桌子下面|2
ninth|第九|number|the ninth seat|第九個座位|2
whichever|無論哪一個|determiner|Choose whichever color you like.|選你喜歡的任何一種顏色。|3
twelfth|第十二|number|the twelfth month|第十二個月|3
hi|嗨|interjection|Hi, how are you?|嗨，你好嗎？|1
hello|你好|interjection|Hello, my name is Ben.|你好，我叫班。|1
bye|再見|interjection|Bye! See you tomorrow.|再見！明天見。|1
wow|哇|interjection|Wow, that is a big cake!|哇，好大的蛋糕！|1
ouch|哎喲|interjection|Ouch! That hurt.|哎喲！好痛。|1
oops|哎呀（出錯時）|interjection|Oops, I dropped my pen.|哎呀，我把筆弄掉了。|1
please|請|adverb|Please sit down.|請坐。|1
me|我（受詞）|pronoun|Please help me.|請幫我。|1
him|他（受詞）|pronoun|Give him the book.|把書給他。|1
them|他們（受詞）|pronoun|I can see them.|我看得到他們。|1
mine|我的（所有物）|pronoun|This pencil is mine.|這枝鉛筆是我的。|2
i|我|pronoun|I like apples.|我喜歡蘋果。|1
zero|零|number|zero points|零分|1
minus|減|preposition|Five minus two is three.|五減二等於三。|1
national|全國的；國家的|adjective|a national park|國家公園|3
vote|投票|verb|We vote for a class leader.|我們投票選班長。|3
settle|安頓；解決|verb|Let us settle the argument.|我們把爭論解決吧。|3
drag|拖拉|verb|Do not drag the chair.|不要拖椅子。|2
knit|編織|verb|I can knit a scarf.|我會織圍巾。|3
swallow|吞嚥|verb|Chew before you swallow.|吞嚥前先咀嚼。|2
invent|發明|verb|We can invent a new game.|我們可以發明新遊戲。|3
faint|昏倒|verb|Too much heat can make you faint.|太熱可能讓你昏倒。|3
resemble|像；與……相似|verb|These clouds resemble sheep.|這些雲看起來像羊。|3
tempt|誘惑|verb|The cakes tempt me.|那些蛋糕讓我很想吃。|3
impress|使留下深刻印象|verb|Your hard work will impress the teacher.|你的努力會讓老師印象深刻。|3
dissolve|溶解|verb|Sugar will dissolve in warm water.|糖會溶解在溫水中。|3
spoil|弄壞；破壞|verb|Rain may spoil our picnic.|雨可能破壞我們的野餐。|3
tremble|顫抖|verb|My hands tremble when I am nervous.|緊張時我的手會發抖。|3
melt|融化|verb|Ice will melt in the sun.|冰在陽光下會融化。|2
forbid|禁止|verb|The signs forbid parking here.|標誌禁止在這裡停車。|4
rebuild|重建|verb|They will rebuild the bridge.|他們會重建橋梁。|3
boast|自誇|verb|Do not boast about winning.|不要自誇贏了比賽。|3
weep|哭泣|verb|The sad story made me weep.|悲傷的故事讓我哭泣。|3
stumble|絆倒|verb|Watch the step so you do not stumble.|小心臺階，別絆倒。|3
kneel|跪下|verb|Kneel on the mat.|跪在墊子上。|2
sniff|嗅；聞|verb|The dog will sniff the bag.|狗會聞那個袋子。|2
glare|怒視|verb|Please do not glare at me.|請不要瞪著我。|3
groan|呻吟；抱怨地哼|verb|We groan when we see more homework.|看到更多功課時，我們哀號了起來。|3
lick|舔|verb|Do not lick the plate.|不要舔盤子。|2
crouch|蹲下|verb|Crouch behind the wall.|蹲在牆後面。|3
sew|縫|verb|I can sew a button on a shirt.|我會把鈕扣縫到襯衫上。|3
poke|戳|verb|Do not poke the sleeping cat.|不要戳正在睡覺的貓。|2
moan|呻吟；抱怨|verb|Do not moan about the rain.|別一直抱怨下雨。|3
tug|用力拉|verb|Tug the rope gently.|輕輕拉繩子。|3
broaden|拓寬|verb|Reading can broaden your knowledge.|閱讀能拓展知識。|4
deceive|欺騙|verb|A false message can deceive people.|不實訊息可能欺騙人們。|4
ponder|仔細思考|verb|Take time to ponder the question.|花點時間仔細想想這個問題。|4
unlock|解鎖|verb|Please unlock the door.|請把門解鎖。|2
shave|刮鬍子|verb|I shave every morning.|我每天早上刮鬍子。|3
stare|盯著看|verb|It is rude to stare at people.|盯著別人看很沒禮貌。|2
shrug|聳肩|verb|Do not just shrug; tell me what you think.|別只是聳肩，告訴我你的想法。|3
sway|搖擺|verb|Trees sway in the wind.|樹木在風中搖擺。|3
wring|擰|verb|Wring the water out of the cloth.|把布裡的水擰出來。|3
clench|握緊；咬緊|verb|Do not clench your teeth.|不要緊咬牙齒。|4
shriek|尖叫|verb|We shriek when the balloon pops.|氣球破掉時，我們尖叫。|3
whimper|嗚咽|verb|The puppy may whimper when it is alone.|小狗獨處時可能嗚咽。|3
wriggle|扭動|verb|Worms wriggle in the soil.|蚯蚓在土壤裡扭動。|3
wiggle|擺動|verb|Wiggle your toes.|動動你的腳趾。|2
tiptoe|踮腳走|verb|Tiptoe past the sleeping baby.|踮腳走過正在睡覺的寶寶身旁。|2
